date,id,name,y_items,y_actual_cost,total_list_size
2018-09-01,Y56,"LONDON COMMISSIONING REGION",105766,484364.53,9932380
2018-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",160384,676889.62,9271342
2018-09-01,Y60,"MIDLANDS COMMISSIONING REGION",244895,808965.04,11213813
2018-09-01,Y62,"NORTH WEST COMMISSIONING REGION",171027,565780.46,7422312
2018-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",159931,526964.79,6836718
2018-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",143210,462386.87,5785496
2018-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",253026,758335.19,8834350
2018-10-01,Y56,"LONDON COMMISSIONING REGION",116463,495172.48,9950977
2018-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",174571,722907.5,9287478
2018-10-01,Y60,"MIDLANDS COMMISSIONING REGION",266230,808329.7,11238733
2018-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",172845,542730.07,6840103
2018-10-01,Y62,"NORTH WEST COMMISSIONING REGION",188847,579518.09,7437436
2018-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",155302,475655.19,5797346
2018-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",274470,783261.03,8856692
2018-11-01,Y56,"LONDON COMMISSIONING REGION",112150,522621.17,9975083
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",169216,778520.66,9298771
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",259160,897706.7,11256265
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",184663,638459.95,7448681
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",170159,585041.28,6849417
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",152198,508088.44,5805507
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",267642,820399.83,8868719
2018-12-01,Y56,"LONDON COMMISSIONING REGION",109153,509579.86,9997323
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",169888,799751.33,9309098
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",257431,933969.59,11265611
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",179887,671214.43,7455780
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",169315,609800.53,6857133
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",152407,534389.8,5813409
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",265968,852579.96,8875147
2019-01-01,Y56,"LONDON COMMISSIONING REGION",116210,545887.59,10010236
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",173625,795391.3,9310892
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",266659,889133.58,11271861
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",186376,632006.38,7459212
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",173391,569432.38,6860685
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",155211,502859.65,5817060
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",273966,820076.72,8876290
2019-02-01,Y56,"LONDON COMMISSIONING REGION",104527,461075.91,10030639
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",157155,714299.41,9319117
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",240303,805879.69,11282156
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",168745,592092.95,7465943
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",157554,522646.38,6868281
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",140515,459700.28,5821677
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",248841,759923.98,8880873
