date,id,name,y_items,y_actual_cost,total_list_size
2018-09-01,Y62,"NORTH WEST COMMISSIONING REGION",295,28898.6,7422312
2018-09-01,Y60,"MIDLANDS COMMISSIONING REGION",448,42208.99,11213813
2018-09-01,Y56,"LONDON COMMISSIONING REGION",415,70881.28,9932380
2018-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",503,94849.62,9271342
2018-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",394,33484.49,6836718
2018-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",540,46441.7,8834350
2018-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",517,70320.09,5785496
2018-10-01,Y62,"NORTH WEST COMMISSIONING REGION",308,33826.08,7437436
2018-10-01,Y56,"LONDON COMMISSIONING REGION",423,68890.56,9950977
2018-10-01,Y60,"MIDLANDS COMMISSIONING REGION",518,58643.24,11238733
2018-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",557,105559.59,9287478
2018-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",581,47733.76,8856692
2018-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",458,39796.84,6840103
2018-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",565,69004.74,5797346
2018-11-01,Y56,"LONDON COMMISSIONING REGION",407,55855.84,9975083
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",472,53407.22,11256265
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",315,33354.77,7448681
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",420,36239.87,6849417
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",548,45037.76,8868719
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",577,122022.46,9298771
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",546,70863.02,5805507
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",294,28487.02,7455780
2018-12-01,Y56,"LONDON COMMISSIONING REGION",414,68620.31,9997323
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",527,57504.17,11265611
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",542,106024.2,9309098
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",562,47376.25,8875147
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",445,36336.93,6857133
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",533,60352.38,5813409
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",303,28683.36,7459212
2019-01-01,Y56,"LONDON COMMISSIONING REGION",429,62454.8,10010236
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",491,55595.64,11271861
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",546,46880.96,8876290
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",576,109617.28,9310892
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",448,46851.33,6860685
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",611,86371.47,5817060
2019-02-01,Y56,"LONDON COMMISSIONING REGION",376,61907.06,10030639
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",282,33128.69,7465943
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",461,51573.9,11282156
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",509,98567.09,9319117
