date,id,name,y_items,y_actual_cost,total_list_size
2018-09-01,Y56,"LONDON COMMISSIONING REGION",124887,490388.31,9932380
2018-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",188138,950997.54,9271342
2018-09-01,Y60,"MIDLANDS COMMISSIONING REGION",234455,1068176.85,11213813
2018-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",149518,649885.24,6836718
2018-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",153343,605242.27,5785496
2018-09-01,Y62,"NORTH WEST COMMISSIONING REGION",227606,988582.51,7422312
2018-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",278992,980306.79,8834350
2018-10-01,Y56,"LONDON COMMISSIONING REGION",138412,468798.19,9950977
2018-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",206626,912414.3,9287478
2018-10-01,Y60,"MIDLANDS COMMISSIONING REGION",258027,1013084.69,11238733
2018-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",161874,622752.2,6840103
2018-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",166093,574164.09,5797346
2018-10-01,Y62,"NORTH WEST COMMISSIONING REGION",254311,970641.69,7437436
2018-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",305812,919769.1,8856692
2018-11-01,Y56,"LONDON COMMISSIONING REGION",133732,435248.77,9975083
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",201075,839318.9,9298771
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",253131,939253.94,11256265
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",160067,583085.05,6849417
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",164234,525854.41,5805507
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",249598,883030.05,7448681
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",299387,840561.02,8868719
2018-12-01,Y56,"LONDON COMMISSIONING REGION",132564,433394.01,9997323
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",202432,857610.84,9309098
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",250261,932041.97,11265611
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",159660,584910.99,6857133
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",163470,532149.66,5813409
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",242785,869688.11,7455780
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",297005,838547.67,8875147
2019-01-01,Y56,"LONDON COMMISSIONING REGION",139474,410785.74,10010236
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",207759,784739.93,9310892
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",262084,867606.9,11271861
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",164443,550841.7,6860685
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",169219,498223.04,5817060
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",255134,791942.29,7459212
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",310117,771916.43,8876290
2019-02-01,Y56,"LONDON COMMISSIONING REGION",127754,371053.72,10030639
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",188555,708525.52,9319117
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",237960,780220.84,11282156
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",149421,496041.51,6868281
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",153086,443179.25,5821677
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",230503,721354.29,7465943
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",281412,697198.24,8880873
2019-03-01,Y56,"LONDON COMMISSIONING REGION",137022,399065.59,10046810
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",203380,776964.69,9324725
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",256523,849857.48,11289941
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",162988,541466.11,6872823
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",164999,483759.38,5824404
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",248800,778132.78,7471538
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",303176,760139.04,8883624
2019-04-01,Y56,"LONDON COMMISSIONING REGION",135266,396410.65,10062815
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",200982,756528.92,9330613
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",253208,832818.95,11297178
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",161809,532799.41,6877718
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",161873,475716.28,5828715
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",248444,767203.7,7476788
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",300450,735790.06,8884823
2019-05-01,Y56,"LONDON COMMISSIONING REGION",145659,412724.86,10082115
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",212865,789116.57,9336102
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",272492,888222.18,11303436
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",171875,556720.85,6882026
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",172965,490602.65,5832593
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",264443,801754.53,7481059
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",319465,769811.89,8887015
2019-06-01,Y56,"LONDON COMMISSIONING REGION",136048,393192.2,10101923
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",199625,741966.87,9342452
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",254449,825938.01,11310273
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",160890,520173.27,6888257
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",162052,466628.21,5836413
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",244349,742192.14,7486134
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",299596,726481.83,8888603
2019-07-01,Y56,"LONDON COMMISSIONING REGION",145161,399872.56,10119444
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",205892,742274.14,9349320
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",263182,827171.39,11316858
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",166931,524497.38,6894651
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",163029,457480.2,5839268
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",255797,753238.98,7490335
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",306326,710841.59,8890364
2019-08-01,Y56,"LONDON COMMISSIONING REGION",142492,432490.24,10141919
2019-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",219629,859706.25,9357428
2019-08-01,Y60,"MIDLANDS COMMISSIONING REGION",277662,958899.98,11323152
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",174173,587564.45,6903485
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",178782,544604.28,5842583
2019-08-01,Y62,"NORTH WEST COMMISSIONING REGION",268328,867772.67,7495529
2019-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",330115,853776.87,8892638
2019-09-01,Y56,"LONDON COMMISSIONING REGION",140831,448329.85,10158323
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",205039,831052.37,9365584
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",262765,934663.01,11330365
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",165574,582817.19,6909412
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",167090,538222.88,5846320
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",253791,853310.99,7499627
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",309528,835305.53,8895534
2019-10-01,Y56,"LONDON COMMISSIONING REGION",150619,473786.22,10181822
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",220309,891688.58,9383051
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",281938,989903,11356955
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",175742,610568.6,6912646
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",177610,566781.16,5854890
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",273786,916035.15,7515988
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",333178,877960.4,8917154
2019-11-01,Y56,"LONDON COMMISSIONING REGION",145924,544771.45,10213538
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",212855,978005.22,9395040
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",271360,1115211.91,11372492
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",172294,680587.1,6921236
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",172205,646167.62,5863157
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",262814,1015907.65,7527579
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",318883,996140.02,8930241
2019-12-01,Y56,"LONDON COMMISSIONING REGION",148023,633550.72,10235623
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",218181,1107789.28,9401836
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",278775,1299611.7,11379276
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",175443,755123.15,6932033
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",175342,773246.96,5868951
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",269209,1143264.68,7533931
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",327328,1194084.35,8934923
2020-01-01,Y56,"LONDON COMMISSIONING REGION",154250,584952.2,10249920
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",225210,1037742.61,9405869
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",291348,1214387.27,11382678
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",182342,710426.09,6937494
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",183492,741290.3,5874580
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",282442,1068525.99,7538518
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",343835,1121440.79,8933862
2020-02-01,Y56,"LONDON COMMISSIONING REGION",143094,542149.2,10269606
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",207116,956660.35,9413643
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",265067,1087210.6,11388757
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",167957,651165.6,6944171
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",167964,668673.16,5878589
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",256318,968017.11,7544503
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",310904,1004880.24,8937566
2020-03-01,Y56,"LONDON COMMISSIONING REGION",151010,601505.27,10288179
2020-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",229088,1074940.76,9419119
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",293105,1231428.27,11396276
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",183271,721858.11,6950439
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",183116,745644.15,5883113
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",282495,1065160.3,7550777
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",341729,1122112.63,8940369
2020-04-01,Y56,"LONDON COMMISSIONING REGION",153078,588487.67,10298573
2020-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",223789,1062909.14,9423436
2020-04-01,Y60,"MIDLANDS COMMISSIONING REGION",285390,1211335.15,11399944
2020-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",180710,718749,6954531
2020-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",182575,747139.44,5886551
2020-04-01,Y62,"NORTH WEST COMMISSIONING REGION",276304,1070231.86,7553767
2020-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",338277,1107060.82,8941089
2020-05-01,Y56,"LONDON COMMISSIONING REGION",146096,565245.58,10287897
2020-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",212506,1014569.96,9417226
2020-05-01,Y60,"MIDLANDS COMMISSIONING REGION",274377,1163728.11,11389230
2020-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",174224,695926.36,6950527
2020-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",172064,703745.44,5883971
2020-05-01,Y62,"NORTH WEST COMMISSIONING REGION",264947,1023892.31,7547186
2020-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",319698,1044312.49,8931447
2020-06-01,Y56,"LONDON COMMISSIONING REGION",153250,592000.45,10288312
2020-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",220069,1067426.68,9416392
2020-06-01,Y60,"MIDLANDS COMMISSIONING REGION",286796,1224102,11385399
2020-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",177413,721502.93,6951259
2020-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",177975,724924.33,5883191
2020-06-01,Y62,"NORTH WEST COMMISSIONING REGION",277595,1090870.44,7545575
2020-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",335393,1107537.75,8927315
2020-07-01,Y56,"LONDON COMMISSIONING REGION",157982,606925.17,10293084
2020-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",231142,1113123.65,9419150
2020-07-01,Y60,"MIDLANDS COMMISSIONING REGION",300235,1276124.32,11385572
2020-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",187100,752560.79,6955691
2020-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",185639,766725.06,5884362
2020-07-01,Y62,"NORTH WEST COMMISSIONING REGION",290407,1120219.26,7547299
2020-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",350167,1148732.04,8927616
2020-08-01,Y56,"LONDON COMMISSIONING REGION",145188,556326.78,10294170
2020-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",210544,1009052.3,9421471
2020-08-01,Y60,"MIDLANDS COMMISSIONING REGION",270029,1144324.21,11385033
2020-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",172250,687339.74,6960107
2020-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",169475,694609.69,5884877
2020-08-01,Y62,"NORTH WEST COMMISSIONING REGION",263402,1015662.12,7548980
2020-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",318963,1038239.77,8927373
2020-09-01,Y56,"LONDON COMMISSIONING REGION",155252,597999.35,10285919
2020-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",225068,1077343.07,9420488
2020-09-01,Y60,"MIDLANDS COMMISSIONING REGION",294706,1250669.09,11384660
2020-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",183609,735372.36,6961671
2020-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",181369,744914.77,5886321
2020-09-01,Y62,"NORTH WEST COMMISSIONING REGION",283870,1086282.41,7549336
2020-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",343211,1120147.63,8927847
2020-10-01,Y56,"LONDON COMMISSIONING REGION",161682,631383.64,10289555
2020-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",234669,1158080.43,9428987
2020-10-01,Y60,"MIDLANDS COMMISSIONING REGION",301231,1322702.53,11399757
2020-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",189049,778738.87,6964447
2020-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",187071,781090.65,5892782
2020-10-01,Y62,"NORTH WEST COMMISSIONING REGION",291232,1151765,7555758
2020-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",351589,1177267.44,8937903
2020-11-01,Y56,"LONDON COMMISSIONING REGION",154352,603681.84,10302791
2020-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",226138,1119325.43,9436081
2020-11-01,Y60,"MIDLANDS COMMISSIONING REGION",290380,1283606.92,11409087
2020-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",182471,758268.14,6971459
2020-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",180608,766985.88,5898441
2020-11-01,Y62,"NORTH WEST COMMISSIONING REGION",279166,1106227.4,7562295
2020-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",342321,1153874.69,8947325
2020-12-01,Y56,"LONDON COMMISSIONING REGION",163966,637960.28,10314558
2020-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",242951,1184514.61,9442028
2020-12-01,Y60,"MIDLANDS COMMISSIONING REGION",316151,1374817.91,11414580
2020-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",196629,805053.94,6977701
2020-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",193559,805165.84,5904635
2020-12-01,Y62,"NORTH WEST COMMISSIONING REGION",304515,1181889.45,7566743
2020-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",367604,1224355.48,8949160
2021-01-01,Y56,"LONDON COMMISSIONING REGION",160010,607429.89,10325878
2021-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",231243,1137904.1,9447508
2021-01-01,Y60,"MIDLANDS COMMISSIONING REGION",298064,1280323.02,11418784
2021-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",188482,771437.06,6982510
2021-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",184165,752727.97,5908904
2021-01-01,Y62,"NORTH WEST COMMISSIONING REGION",286622,1116989.1,7571972
2021-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",348097,1141330.16,8949832
2021-02-01,Y56,"LONDON COMMISSIONING REGION",152337,580854.35,10328775
2021-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",218457,1060791.74,9448439
2021-02-01,Y60,"MIDLANDS COMMISSIONING REGION",284981,1211823.33,11421095
2021-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",177435,723598.5,6982786
2021-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",174833,704722.54,5912662
2021-02-01,Y62,"NORTH WEST COMMISSIONING REGION",273827,1055492.03,7574620
2021-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",330964,1080597.88,8949420
2021-03-01,Y56,"LONDON COMMISSIONING REGION",170370,644059.36,10341195
2021-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",244385,1168648.94,9451815
2021-03-01,Y60,"MIDLANDS COMMISSIONING REGION",318779,1321375.71,11423599
2021-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",197571,787732.14,6985618
2021-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",195300,773843.64,5917594
2021-03-01,Y62,"NORTH WEST COMMISSIONING REGION",308311,1156755.89,7578726
2021-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",373417,1191060.13,8951239
2021-04-01,Y56,"LONDON COMMISSIONING REGION",164193,586086.16,10375347
2021-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",234992,1098414.14,9465158
2021-04-01,Y60,"MIDLANDS COMMISSIONING REGION",311357,1258732.82,11435604
2021-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",193124,751417.25,6996426
2021-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",190093,723379.38,5926083
2021-04-01,Y62,"NORTH WEST COMMISSIONING REGION",298134,1097263.61,7587973
2021-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",359709,1114250.55,8956467
2021-05-01,Y56,"LONDON COMMISSIONING REGION",157475,560671.42,10394044
2021-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",226874,1068582.14,9473549
2021-05-01,Y60,"MIDLANDS COMMISSIONING REGION",295280,1192975.32,11442989
2021-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",184578,718913.57,7002996
2021-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",182078,688263.19,5932018
2021-05-01,Y62,"NORTH WEST COMMISSIONING REGION",282026,1036114.82,7593488
2021-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",344194,1058300.88,8958827
2021-06-01,Y56,"LONDON COMMISSIONING REGION",168284,603806.75,10416804
2021-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",240089,1121562.53,9482622
2021-06-01,Y60,"MIDLANDS COMMISSIONING REGION",316725,1282922.93,11451305
2021-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",195777,760109.17,7011249
2021-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",192630,733608.86,5937337
2021-06-01,Y62,"NORTH WEST COMMISSIONING REGION",302658,1104660.79,7599280
2021-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",368163,1146208.27,8961216
2021-07-01,Y56,"LONDON COMMISSIONING REGION",169212,535179.91,10460704
2021-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",242952,1021069.15,9497446
2021-07-01,Y60,"MIDLANDS COMMISSIONING REGION",316600,1138420.28,11462677
2021-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",197728,699422.24,7024340
2021-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",193674,643773.44,5945975
2021-07-01,Y62,"NORTH WEST COMMISSIONING REGION",302884,985163.6,7610413
2021-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",366232,979271.7,8967500
2021-08-01,Y56,"LONDON COMMISSIONING REGION",161488,507146.59,10484991
2021-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",230847,965927.26,9505984
2021-08-01,Y60,"MIDLANDS COMMISSIONING REGION",305336,1084543.15,11469252
2021-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",189716,667931.17,7034367
2021-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",184528,610990.85,5950970
2021-08-01,Y62,"NORTH WEST COMMISSIONING REGION",291889,942438.19,7617178
2021-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",357592,955330.16,8968617
2021-09-01,Y56,"LONDON COMMISSIONING REGION",169135,535620.46,10501848
2021-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",242674,1016452.63,9514059
2021-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",196776,691968.35,7042747
2021-09-01,Y60,"MIDLANDS COMMISSIONING REGION",321615,1146189.07,11477274
2021-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",192259,641275.47,5955856
2021-09-01,Y62,"NORTH WEST COMMISSIONING REGION",306675,997634.31,7624812
2021-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",368616,991602.58,8968520
2021-10-01,Y56,"LONDON COMMISSIONING REGION",165031,475593.74,10528260
2021-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",233224,915056.15,9527034
2021-10-01,Y60,"MIDLANDS COMMISSIONING REGION",308722,1012078.16,11502028
2021-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",190891,629682.05,7047005
2021-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",183369,557211.76,5966996
2021-10-01,Y62,"NORTH WEST COMMISSIONING REGION",295209,881546.82,7637641
2021-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",359066,873008.57,8984115
2021-11-01,Y56,"LONDON COMMISSIONING REGION",171121,510827.3,10560132
2021-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",242372,955048.16,9540164
2021-11-01,Y60,"MIDLANDS COMMISSIONING REGION",321747,1051431.99,11517190
2021-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",197479,654755.53,7054809
2021-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",194730,595624.38,5975469
2021-11-01,Y62,"NORTH WEST COMMISSIONING REGION",305381,922713.06,7651787
