date,id,name,y_items,y_actual_cost,total_list_size
2018-09-01,Y56,"LONDON COMMISSIONING REGION",279499,444493.56,9932380
2018-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",439175,734849.06,9271342
2018-09-01,Y60,"MIDLANDS COMMISSIONING REGION",600222,904920.43,11213813
2018-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",320711,490300.62,5785496
2018-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",383291,582096.78,6836718
2018-09-01,Y62,"NORTH WEST COMMISSIONING REGION",461523,656088.03,7422312
2018-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",582181,777078.16,8834350
2018-10-01,Y56,"LONDON COMMISSIONING REGION",305434,445543.54,9950977
2018-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",480349,728449.03,9287478
2018-10-01,Y60,"MIDLANDS COMMISSIONING REGION",657749,897846.24,11238733
2018-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",347275,480676.26,5797346
2018-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",412830,566939.02,6840103
2018-10-01,Y62,"NORTH WEST COMMISSIONING REGION",511662,667055.77,7437436
2018-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",636110,779016.16,8856692
2018-11-01,Y56,"LONDON COMMISSIONING REGION",296338,414188.81,9975083
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",467970,676728.1,9298771
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",640024,825812.98,11256265
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",341025,447872.2,5805507
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",406260,528397.76,6849417
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",503692,626714.93,7448681
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",623168,723430.65,8868719
2018-12-01,Y56,"LONDON COMMISSIONING REGION",291185,424222.2,9997323
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",467035,714943.9,9309098
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",634660,874144,11265611
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",339803,475331.88,5813409
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",405768,558903.02,6857133
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",488787,641712.21,7455780
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",615420,766685.72,8875147
2019-01-01,Y56,"LONDON COMMISSIONING REGION",309395,452953.79,10010236
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",482178,739991.04,9310892
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",662297,919530.92,11271861
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",349123,490025.39,5817060
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",417091,583396.24,6860685
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",511876,676057.74,7459212
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",642944,815463.84,8876290
2019-02-01,Y56,"LONDON COMMISSIONING REGION",278600,399365.6,10030639
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",433932,636873.05,9319117
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",598168,798137.31,11282156
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",316225,424717.11,5821677
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",378514,507466.24,6868281
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",461394,586363.85,7465943
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",580542,701375.72,8880873
2019-03-01,Y56,"LONDON COMMISSIONING REGION",302718,433207.98,10046810
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",474198,709559.03,9324725
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",648598,871764.3,11289941
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",343905,466283.26,5824404
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",412895,552532.61,6872823
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",501115,639694.52,7471538
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",631077,760968.4,8883624
2019-04-01,Y56,"LONDON COMMISSIONING REGION",293197,516606.31,10062815
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",461368,860542.55,9330613
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",632328,1071285.95,11297178
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",334710,566683.59,5828715
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",404586,666007.98,6877718
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",493659,812445.86,7476788
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",618125,954102.02,8884823
2019-05-01,Y56,"LONDON COMMISSIONING REGION",318454,567908.76,10082115
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",493634,945224.07,9336102
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",680530,1125339.62,11303436
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",357503,601976.97,5832593
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",431747,701735.78,6882026
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",528349,843274.06,7481059
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",658746,977592.02,8887015
2019-06-01,Y56,"LONDON COMMISSIONING REGION",295164,523496.51,10101923
2019-06-01,Y59,"SOUTH EAST COMMISSIONING REGION",462851,885083.33,9342452
2019-06-01,Y60,"MIDLANDS COMMISSIONING REGION",637758,1035250.51,11310273
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",335944,556246.15,5836413
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",404867,644774.24,6888257
2019-06-01,Y62,"NORTH WEST COMMISSIONING REGION",490200,763443.14,7486134
2019-06-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",620099,897177.2,8888603
2019-07-01,Y56,"LONDON COMMISSIONING REGION",316264,538318.76,10119444
2019-07-01,Y59,"SOUTH EAST COMMISSIONING REGION",473783,867539.86,9349320
2019-07-01,Y58,"SOUTH WEST COMMISSIONING REGION",335128,541520.81,5839268
2019-07-01,Y60,"MIDLANDS COMMISSIONING REGION",656660,1037749.19,11316858
2019-07-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",418394,642891.84,6894651
2019-07-01,Y62,"NORTH WEST COMMISSIONING REGION",512132,779258.97,7490335
2019-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",631001,900921.69,8890364
2019-08-01,Y56,"LONDON COMMISSIONING REGION",305729,558879.62,10141919
2019-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",499965,998453.91,9357428
2019-08-01,Y60,"MIDLANDS COMMISSIONING REGION",686058,1200915.58,11323152
2019-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",432882,730685.77,6903485
2019-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",366553,642923.43,5842583
2019-08-01,Y62,"NORTH WEST COMMISSIONING REGION",529863,881693.9,7495529
2019-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",674559,1060845.27,8892638
2019-09-01,Y56,"LONDON COMMISSIONING REGION",302588,553610.86,10158323
2019-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",471626,929855.51,9365584
2019-09-01,Y60,"MIDLANDS COMMISSIONING REGION",649141,1123051.36,11330365
2019-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",343170,597688.59,5846320
2019-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",411889,686276.09,6909412
2019-09-01,Y62,"NORTH WEST COMMISSIONING REGION",501622,832199.89,7499627
2019-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",631659,981499.38,8895534
2019-10-01,Y56,"LONDON COMMISSIONING REGION",322814,635315.65,10181822
2019-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",501497,1071202.5,9383051
2019-10-01,Y60,"MIDLANDS COMMISSIONING REGION",693795,1286275.03,11356955
2019-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",364852,678004.23,5854890
2019-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",437225,778421.41,6912646
2019-10-01,Y62,"NORTH WEST COMMISSIONING REGION",539149,962733.26,7515988
2019-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",677359,1126608.72,8917154
2019-11-01,Y56,"LONDON COMMISSIONING REGION",311604,615466.96,10213538
2019-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",484963,1043268.45,9395040
2019-11-01,Y60,"MIDLANDS COMMISSIONING REGION",665942,1237880.75,11372492
2019-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",350401,666027.03,5863157
2019-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",426035,763566.76,6921236
2019-11-01,Y62,"NORTH WEST COMMISSIONING REGION",514628,929387.35,7527579
2019-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",646932,1085479.91,8930241
2019-12-01,Y56,"LONDON COMMISSIONING REGION",312035,619386.39,10235623
2019-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",491335,1065912.06,9401836
2019-12-01,Y60,"MIDLANDS COMMISSIONING REGION",675986,1265298.3,11379276
2019-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",356258,675233.68,5868951
2019-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",432286,778060.17,6932033
2019-12-01,Y62,"NORTH WEST COMMISSIONING REGION",520875,941713.33,7533931
2019-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",657411,1105488.11,8934923
2020-01-01,Y56,"LONDON COMMISSIONING REGION",328004,611553.62,10249920
2020-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",509145,1031514.86,9405869
2020-01-01,Y60,"MIDLANDS COMMISSIONING REGION",706072,1236096.91,11382678
2020-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",370434,653399.7,5874580
2020-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",449426,755374.33,6937494
2020-01-01,Y62,"NORTH WEST COMMISSIONING REGION",546518,929274.17,7538518
2020-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",691519,1083484.62,8933862
2020-02-01,Y56,"LONDON COMMISSIONING REGION",300316,555366.74,10269606
2020-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",466766,939170.77,9413643
2020-02-01,Y60,"MIDLANDS COMMISSIONING REGION",642608,1120098.19,11388757
2020-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",337927,596991.28,5878589
2020-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",412387,692167.95,6944171
2020-02-01,Y62,"NORTH WEST COMMISSIONING REGION",495640,839235.32,7544503
2020-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",621993,972962.35,8937566
2020-03-01,Y56,"LONDON COMMISSIONING REGION",334038,1617843.2,10288179
2020-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",530877,2702758.93,9419119
2020-03-01,Y60,"MIDLANDS COMMISSIONING REGION",727474,3302055.82,11396276
2020-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",382630,1778044.29,5883113
2020-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",462508,1933230.58,6950439
2020-03-01,Y62,"NORTH WEST COMMISSIONING REGION",563079,2585757.21,7550777
2020-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",705774,2957630.04,8940369
2020-04-01,Y56,"LONDON COMMISSIONING REGION",311964,2056709.38,10298573
2020-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",491549,3548873.93,9423436
2020-04-01,Y60,"MIDLANDS COMMISSIONING REGION",673970,4434523.3,11399944
2020-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",360834,2373710.75,5886551
2020-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",434544,2608316.44,6954531
2020-04-01,Y62,"NORTH WEST COMMISSIONING REGION",521965,3508366.36,7553767
2020-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",661173,3971505.08,8941089
2020-05-01,Y56,"LONDON COMMISSIONING REGION",306062,2073104.85,10287897
2020-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",473480,3462894.09,9417226
